State,Animal Name,Facts,Characteristics
Alabama,Admiral Butterfly,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary/Group"", ""Fun Fact"": ""Admiral butterflies are named for their wing patterns, which resemble military insignia!"", ""Biggest Threat"": ""Habitat loss"", ""Most Distinctive Feature"": ""Flashy wing colors and patterns"", ""Wingspan"": ""1.75 to 3.9 inches"", ""Habitat"": ""Forests, fields, jungles, mountain ranges, orchards, near streams and marshes, urban areas"", ""Predators"": ""Monkeys, birds, rats, snakes, frogs, toads, lizards, dragonflies, wasps, ants, flies, spiders"", ""Diet"": ""Herbivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Nectar, rotting fruit, carcasses, urine, excrement"", ""Special Features"": ""Camouflage, mimicry"", ""Slogan"": ""Stunningly beautiful wings"", ""Group"": ""Kaleidoscope, flutter, or swarm""}","{""Color"": ""BrownYellowRedBlueBlackWhiteGreenOrangePurpleMulti-coloredBlack-Brown"", ""Skin Type"": ""Exoskeleton"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Alabama,Agkistrodon Contortrix,"{""Prey"": ""Insects, rodents, birds, rabbits"", ""Name Of Young"": ""Snakes"", ""Group Behavior"": ""Mainly solitarySolitary except during mating season"", ""Most Distinctive Feature"": ""Hourglass shaped markings and copper-colored head"", ""Gestation Period"": ""80-150 days"", ""Average Spawn Size"": ""Four to seven snakes"", ""Habitat"": ""Forests, open woods, rocky crevices"", ""Diet for this Fish"": ""Carnivore"", ""Lifestyle"": ""or Nocturnal Depending on Region and Season"", ""Common Name"": ""Eastern copperhead"", ""Number Of Species"": ""5"", ""Average Clutch Size"": ""-29""}","{""Color"": ""BrownCaramelGrey-BrownLight-Brown"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Up to 29 years"", ""Length"": ""Two to four feet on average"", ""Age of Sexual Maturity"": ""Three and a half years"", ""Venomous"": ""Yes"", ""Aggression"": ""Low""}"
Alabama,Albino (Amelanistic) Corn Snake,"""""",{}
Alabama,American Eel,"{""Prey"": ""insect larvae, fish, molluscs, bivalves, crustaceans, insects, worms, frogs, plants"", ""Name Of Young"": ""Leptocephalus, glass eel, elver, yellow eel"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""Don't eat raw eel! Their blood is poisonous to humans when consumed raw."", ""Estimated Population Size"": ""700,000"", ""Biggest Threat"": ""Human activity"", ""Most Distinctive Feature"": ""Long, snakelike body"", ""Other Name(s)"": ""Atlantic eel, black eel, Boston eel, bronze eel, common eel, freshwater eel, green eel, little eel, river eel, silver eel, slippery eel, snakefish"", ""Gestation Period"": ""Unknown"", ""Litter Size"": ""750 eggs"", ""Habitat"": ""Freshwater, estuaries, Atlantic Ocean, Sargasso Sea"", ""Predators"": ""Fish, bad eagles, seagulls, large waterfowl"", ""Diet"": ""Omnivore"", ""Common Name"": ""American Eel"", ""Number Of Species"": ""1"", ""Location"": ""East coast of North America"", ""Group"": ""Solitary""}","{""Color"": ""BrownYellowWhiteGreenDark BrownSilverLight GreyDark Grey"", ""Skin Type"": ""Scales"", ""Lifespan"": ""15-20 years"", ""Weight"": ""Up to 17 pounds"", ""Length"": ""Up to 4 feet"", ""Age of Sexual Maturity"": ""1-4 years"", ""Age of Weaning"": ""Immediately after birth"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Alabama,Armyworm,"{""Name Of Young"": ""larva"", ""Group Behavior"": ""Solitary"", ""Fun Fact"": ""They are so named because they \""march\"" in armies of worms from one crop to another in search of food"", ""Biggest Threat"": ""pest control"", ""Most Distinctive Feature"": ""Five stripes of various colors running the length of the body"", ""Other Name(s)"": ""true armyworm moth, white-speck moth, common armyworm or rice armyworm"", ""Gestation Period"": ""3.5 to 6.5 days (egg to larva)"", ""Wingspan"": ""1.5 inches"", ""Litter Size"": ""500 to 1500 eggs per adult female"", ""Habitat"": ""Agricultural crops and weedy grasses"", ""Predators"": ""humans with pesticide treatments, bats, ground beetles, ants, spiders, bobolink blackbirds, starlings, crows; wasp and fly parasitoids; bacterial and fungal diseases"", ""Diet"": ""Herbivore"", ""Type"": ""Insect"", ""Common Name"": ""armyworm"", ""Number Of Species"": ""30"", ""Location"": ""Americas, southern Europe, central Africa, and western Asia"", ""Group"": ""solitary""}","{""Color"": ""Olive-GreyGrey-Brown"", ""Skin Type"": ""Hair"", ""Top Speed"": ""62 mph"", ""Lifespan"": ""36-95 days"", ""Weight"": ""0.026 to 0.18 grams"", ""Length"": ""0.063in to 1.5in larvae, 1.5in wingspan as adult"", ""Age of Sexual Maturity"": ""30-50 days""}"
Alabama,Bagworm Moth Caterpillar,"{""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Infestation"", ""Fun Fact"": ""Bagworm moth caterpillars build protective cases around themselves that occasionally resemble tiny log cabins!"", ""Biggest Threat"": ""Birds"", ""Most Distinctive Feature"": ""They build protective cases around themselves in addition to cocoons"", ""Wingspan"": ""Between 0.47 and 1.42 inches"", ""Habitat"": ""Deciduous and coniferous forests, any area with appropriate plant life"", ""Predators"": ""Birds, wasps"", ""Diet"": ""Herbivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Leaves, needles, fruits, flowers"", ""Origin"": ""North America"", ""Number Of Species"": ""1350"", ""Slogan"": ""They continually enlarge their protective cases"", ""Group"": ""Army""}","{""Color"": ""YellowBlack"", ""Skin Type"": ""Exoskeleton"", ""Length"": ""Up to 1.5 inches"", ""Venomous"": ""No"", ""Aggression"": ""Low""}"
Alabama,Banded Water Snake,"{""Prey"": ""Frogs, fish and birds"", ""Group Behavior"": ""Solitary except during mating season"", ""Fun Fact"": ""Some water snakes defend themselves violently."", ""Distinctive Feature"": ""Vertical bars around the lip scales"", ""Litter Size"": ""8\u201340"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal/Nocturnal"", ""Type"": ""reptile"", ""Common Name"": ""water snake""}","{""Color"": ""BrownGreyRedOlive"", ""Skin Type"": ""Scales"", ""Lifespan"": ""Three years in captivity; eight in the wild"", ""Length"": ""two to five feet"", ""Venomous"": ""No"", ""Aggression"": ""Medium""}"
Alabama,Basilosaurus,"{""Diet"": ""Omnivore""}",{}
Alabama,Beewolf wasp,"{""Main Prey"": ""Bees"", ""Name Of Young"": ""Larvae"", ""Group Behavior"": ""Solitary except during mating season"", ""Fun Fact"": ""Beewolf wasps hunt bees to feed to their young!"", ""Biggest Threat"": ""Habitat loss"", ""Most Distinctive Feature"": ""Venomous stinger"", ""Other Name(s)"": ""Beewolf, bee-hunter, bee-killer wasp"", ""Habitat"": ""Soil"", ""Predators"": ""Birds, insects, reptiles, amphibians, mammals"", ""Diet"": ""Omnivore"", ""Lifestyle"": ""Diurnal"", ""Favorite Food"": ""Nectar, pollen"", ""Common Name"": ""Beewolf"", ""Special Features"": ""Venomous stinger"", ""Number Of Species"": ""136"", ""Location"": ""North America, South America, Europe, Africa, Asia"", ""Slogan"": ""They hunt bees"", ""Group"": ""Swarm"", ""Nesting Location"": ""Soil/ground""}","{""Color"": ""YellowBlackDark BrownBlack-Brown"", ""Skin Type"": ""Exoskeleton"", ""Venomous"": ""Yes"", ""Aggression"": ""High""}"
Alabama,Blue Catfish,"{""Prey"": ""Aquatic animals"", ""Group Behavior"": ""School"", ""Fun Fact"": ""It's a strong fighter when caught on a fishing line"", ""Estimated Population Size"": ""Unknown; 100 million in the Chesapeake Bay"", ""Biggest Threat"": ""None"", ""Most Distinctive Feature"": ""Large size"", ""Other Name(s)"": ""Blue channel, chucklehead cat, Mississippi cat, Fulton cat, forktail cat, great forktail cat, humpback blue, silver cat, and highfin blue"", ""Gestation Period"": ""6-10 days"", ""Optimum pH Level"": ""5.0-7.0"", ""Habitat"": ""Reservoirs, rivers, lakes, and ponds"", ""Predators"": ""Osprey, bald eagles, and humans"", ""Diet"": ""Omnivore"", ""Type"": ""Fish"", ""Common Name"": ""Blue catfish"", ""Number Of Species"": ""1""}","{""Color"": ""GreyBlueSilver"", ""Skin Type"": ""Scales"", ""Top Speed"": ""0.6 mph"", ""Lifespan"": ""9-25 years"", ""Weight"": ""25-150lbs"", ""Length"": ""24-65in""}"
